occ,n
vaktkonstapel,21
johansson,21
springflicka,21
sjukgymnast,21
stuveriarbetare,21
stuveriarb.,21
kontorselev,21
skadespelare,21
skradderiarb.,21
g,21
kartrit,21
bodkarl,21
hamnarb.,21
skomakeriarbetare,21
hag,21
tecknare,21
direktӧr,21
forestanderska,21
barnskӧt,21
expeditor,21
diakon,21
mureriarbetaren,21
platslageriarbetare,21
fbr.arb.,21
poliskonst,21
skolkokslar,21
br.,21
grofarbet.,21
f grovarb,20
servitrisen,20
stallkarl,20
handelsbokhallare,20
skot.bitr,20
eld.,20
valsarb.,20
cellul.f.arb,20
bokbindaren,20
walsverkare,20
adv,20
rorlagg.,20
skraddaregesallen,20
lokfӧr,20
spec.handl,20
mureriarb.,20
avd.chef,20
plȧtslag,20
cykelanb,20
svarfvaren,20
vavaren,20
brodos,20
kaféidk.,20
tradg.elev,20
l,20
b.,20
styrmannen,20
sockerbr.arb,20
hem.agare,20
f form,20
landtbrukaren,20
brygg.,20
statdrg.,20
avd.skot,20
tradgardselev,20
lekt,20
pred,20
maleriarb,19
olutkorare,19
banbitr,19
gastgifvare,19
waktmast.,19
bruksarbet.,19
husforest:a,19
transportarb.,19
bilfor,19
hand.,19
kabelarb,19
tillskar.,19
inspector,19
linnesommerska,19
tandtekniker,19
bonare,19
husag.,19
postexp.,19
stuveriarb,19
tj.man,19
betjenten,19
kopparslagaren,19
stationsinsp.,19
bilrep.,19
batbyggare,19
Åboson,19
krbr.arb.,19
hammarsmed,19
sth.,19
assistent,19
droskchauff,19
aboson,19
hemsyst,19
apotekaren,19
rorarbet.,19
notarie,19
avsynerska,19
husmor,19
smedmast,19
fil.mag.,19
mont,19
brodutkorare,19
glasarb.,19
banmastare,19
elektrikern,19
kr.arb.,19
f banv,19
tandsticks.arbetare,19
jordag.,19
smaskollar,19
byggmӓst,19
snickaregesallen,19
adjunkt,18
klensmed,18
postbitrade,18
h.eg.,18
juvelerare,18
tjanar.,18
stenogr,18
gasverksarb.,18
kaptenen,18
gjuteriarb,18
f hembitr,18
skogsarbet.,18
fanrik,18
met.arb.,18
modellsnickare,18
avd.forest,18
jbr. arb,18
stenarbet.,18
Ämneslar,18
slakt.,18
teknolog,18
jarnhand.bitr,18
droskforare,18
barnm,18
handbitr,18
tagmastare,18
tillskӓr,18
konsul,18
garfveriarb.,18
barberare,18
vav.arb,18
fanj.,18
bankbitr.,18
arrendatorn,18
affarsinnehavarinna,18
rep.,18
hen.ag.,18
tob.arb,18
bag.idk,18
hovmastare,18
sӧmmerska,18
jb.arb.,18
rattar,18
smabruk,18
handelsforestand.,18
forrȧdsarb,18
forvalt.,18
bruksarbetaren,18
bankvaktm,18
ekon.bitr,18
malarmastare,18
jordbruksarbet.,18
byggnadssnickaren,18
heuag,18
parkarb,18
tjӓnsteman,18
bodbitrade,18
bleckslag.,18
transportarbetare,18
frisormast.,18
magasinsarb.,18
hd.,18
trafikbitr.,18
hemhjalp,18
snickeriarb.,18
hjalpmontor,18
chokl.arb,18
malaremast,18
barnmorskan,18
yrkeslar,18
frisӧr,17
