id,name
1103,tavernari di vino a minuto
1104,tavernieri
1105,tavernieri e albergatori
1106,telajoli di drappi di oro ed argento
1107,telajoli di seta
1108,telajoli di tela bianca
1109,tellaroli
1110,teologi tessitori di trine e di passamani
1111,terazzeri
1112,terraioli
1113,tesseri da panni lana
1114,tesseri da tela
1115,tessitori
1116,tessitori auroserici
1117,tessitori d'oro e d'argento a spolino
1118,tessitori da seta
1119,tessitori di bindelli e lavorini
1120,tessitori di calze al telaio
1121,tessitori di calzetta
1122,tessitori di drappi
1123,tessitori di drappi di lana e seta
1124,"tessitori di drappi di seta, bavella, lana"
1125,tessitori di lana
1126,tessitori di lino
1127,"tessitori di lino, lana e seta"
1128,tessitori di panni
1129,tessitori di panni di lana
1130,tessitori di panni di seta
1131,tessitori di panni lana
1132,tessitori di panni lini
1133,tessitori di panni lino
1134,tessitori di tela e teletta
1135,tessitori di tele di lino e canapa
1136,tessitori di tele e tovaglioli
1137,tessitori di velluto o velluteri
1138,"tessitori e orditori delle tele di lino, fustagno, spalliere"
1139,tessitori panni lana
1140,testori
1141,testori da tela
1142,tin workers (stagnari)
1143,tin workers (stagnatari)
1144,tintori
1145,"tintori d'arte maggiore, minore e da seta"
1146,"tintori da lana, filo e cotone"
1147,tintori da seta
1148,tintori di cappelli d'opera vecchia
1149,tintori di drappi colorati
1150,tintori di fustagno
1151,tintori di lana in guado
1152,tintori di negro (arte della seta)
1153,tintori di panni lana
1154,tintori di seta
1155,tintori di seta e lana
1156,tintori di sete nere e a colori
1157,tintori in seta
1158,tira e battioro
1159,tiratori di ferro e ottone filato seu per trafila
1160,tiratori di oro e di argento
1161,tiratori di oro e di argento (monte)
1162,tiratori o tessitori d'oro e d'argento
